model,feature_set,error
rf,"['fp1', 'fp2', 'fp3']",183.55217391304348
rf,"['fp1', 'fp2', 'fp3', 'avg_score']",142.70652173913044
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake']",190.56521739130434
rf,"['fp1', 'fp2', 'fp3', 'dnf_prob']",183.98478260869564
rf,"['fp1', 'fp2', 'fp3', 'dotd_prob']",173.91086956521738
rf,"['fp1', 'fp2', 'fp3', 'weighted_fp_mean']",184.42608695652174
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake']",148.4586956521739
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'dnf_prob']",140.4282608695652
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'dotd_prob']",136.6478260869565
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'weighted_fp_mean']",142.62173913043478
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'dnf_prob']",185.13695652173914
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'dotd_prob']",179.27608695652174
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'weighted_fp_mean']",189.73043478260868
rf,"['fp1', 'fp2', 'fp3', 'dnf_prob', 'dotd_prob']",173.55869565217392
rf,"['fp1', 'fp2', 'fp3', 'dnf_prob', 'weighted_fp_mean']",180.97608695652173
rf,"['fp1', 'fp2', 'fp3', 'dotd_prob', 'weighted_fp_mean']",173.45
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'dnf_prob']",144.4695652173913
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'dotd_prob']",142.1
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'weighted_fp_mean']",149.76956521739132
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'dnf_prob', 'dotd_prob']",136.3586956521739
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'dnf_prob', 'weighted_fp_mean']",143.95652173913044
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'dotd_prob', 'weighted_fp_mean']",140.2804347826087
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'dnf_prob', 'dotd_prob']",175.02391304347827
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'dnf_prob', 'weighted_fp_mean']",184.88478260869564
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'dotd_prob', 'weighted_fp_mean']",182.22391304347826
rf,"['fp1', 'fp2', 'fp3', 'dnf_prob', 'dotd_prob', 'weighted_fp_mean']",174.4608695652174
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'dnf_prob', 'dotd_prob']",139.52391304347827
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'dnf_prob', 'weighted_fp_mean']",147.79347826086956
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'dotd_prob', 'weighted_fp_mean']",143.20434782608694
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'dnf_prob', 'dotd_prob', 'weighted_fp_mean']",140.4586956521739
rf,"['fp1', 'fp2', 'fp3', 'avg_overtake', 'dnf_prob', 'dotd_prob', 'weighted_fp_mean']",175.9304347826087
rf,"['fp1', 'fp2', 'fp3', 'avg_score', 'avg_overtake', 'dnf_prob', 'dotd_prob', 'weighted_fp_mean']",143.20652173913044
svr,"['fp1', 'fp2', 'fp3']",173.2826086956522
svr,"['fp1', 'fp2', 'fp3', 'avg_score']",169.97391304347826
svr,"['fp1', 'fp2', 'fp3', 'avg_overtake']",173.75652173913045
svr,"['fp1', 'fp2', 'fp3', 'dnf_prob']",173.49565217391304
svr,"['fp1', 'fp2', 'fp3', 'dotd_prob']",173.47608695652173
svr,"['fp1', 'fp2', 'fp3', 'weighted_fp_mean']",173.20434782608694
